iter	Passed	Remaining
724	32295	12249
725	32332	12202
726	32372	12156
727	32408	12108
728	32453	12064
729	32493	12018
730	32542	11975
731	32580	11928
732	32617	11881
733	32655	11834
734	32692	11787
735	32734	11741
736	32773	11695
737	32817	11650
738	32854	11603
739	32897	11558
740	32932	11510
741	32972	11464
742	33009	11417
743	33053	11373
744	33091	11326
745	33130	11280
746	33167	11233
747	33205	11186
748	33241	11139
749	33279	11093
750	33318	11047
751	33357	11001
752	33394	10954
753	33438	10909
754	33480	10864
755	33530	10821
756	33576	10778
757	33615	10732
758	33652	10685
759	33696	10641
760	33738	10596
761	33775	10549
762	33813	10503
763	33850	10456
764	33889	10410
765	33925	10363
766	33963	10317
767	34005	10272
768	34045	10226
769	34087	10181
770	34131	10137
771	34170	10091
772	34213	10047
773	34259	10003
774	34300	9958
775	34337	9911
776	34376	9866
777	34414	9820
778	34451	9773
779	34491	9728
780	34533	9683
781	34572	9637
782	34610	9592
783	34648	9545
784	34688	9500
785	34726	9454
786	34763	9408
787	34802	9363
788	34841	9317
789	34880	9271
790	34915	9225
791	34954	9180
792	34992	9134
793	35039	9090
794	35075	9044
795	35115	8999
796	35154	8954
797	35192	8908
798	35230	8862
799	35269	8817
800	35308	8771
801	35347	8726
802	35386	8681
803	35423	8635
804	35465	8591
805	35514	8548
806	35554	8503
807	35594	8458
808	35633	8412
809	35671	8367
810	35709	8321
811	35747	8276
812	35788	8231
813	35826	8186
814	35864	8141
815	35906	8096
816	35942	8050
817	35981	8005
818	36031	7963
819	36074	7918
820	36118	7874
821	36157	7829
822	36194	7784
823	36233	7739
824	36273	7694
825	36309	7648
826	36353	7604
827	36396	7560
828	36444	7517
829	36488	7473
830	36531	7429
831	36579	7386
832	36619	7341
833	36663	7297
834	36701	7252
835	36745	7208
836	36789	7164
837	36838	7121
838	36881	7077
839	36925	7033
840	36969	6989
841	37011	6945
842	37051	6900
843	37087	6854
844	37130	6810
845	37170	6766
846	37209	6721
847	37255	6677
848	37293	6632
849	37333	6588
850	37373	6543
851	37408	6498
852	37450	6453
853	37492	6409
854	37529	6364
855	37575	6321
856	37610	6275
857	37649	6231
858	37691	6186
859	37736	6143
860	37775	6098
861	37823	6055
862	37863	6010
863	37906	5966
864	37947	5922
865	37992	5878
866	38038	5835
867	38081	5791
868	38127	5747
869	38169	5703
870	38215	5659
871	38261	5616
872	38302	5572
873	38350	5528
874	38394	5484
875	38441	5441
876	38565	5408
877	38608	5364
878	38647	5320
879	38693	5276
880	38737	5232
881	38774	5187
882	38811	5142
883	38850	5097
884	38893	5054
885	38938	5010
886	38978	4965
887	39016	4920
888	39054	4876
889	39094	4831
890	39134	4787
891	39175	4743
892	39219	4699
893	39264	4655
894	39302	4610
895	39346	4567
896	39385	4522
897	39425	4478
898	39462	4433
899	39510	4390
900	39555	4346
901	39592	4301
902	39633	4257
903	39681	4213
904	39718	4169
905	39756	4124
906	39794	4080
907	39832	4035
908	39870	3991
909	39908	3946
910	39945	3902
911	39984	3858
912	40027	3814
913	40067	3770
914	40108	3725
915	40144	3681
916	40185	3637
917	40222	3592
918	40258	3548
919	40307	3505
920	40348	3460
921	40386	3416
922	40431	3372
923	40477	3329
924	40529	3286
925	40573	3242
926	40616	3198
927	40660	3154
928	40698	3110
929	40745	3066
930	40789	3023
931	40827	2978
932	40865	2934
933	40903	2890
934	40942	2846
935	40990	2802
936	41029	2758
937	41068	2714
938	41106	2670
939	41144	2626
940	41182	2582
941	41220	2537
942	41264	2494
943	41303	2450
944	41343	2406
945	41385	2362
946	41422	2318
947	41460	2274
948	41502	2230
949	41540	2186
950	41594	2143
951	41631	2099
952	41677	2055
953	41724	2011
954	41763	1967
955	41801	1923
956	41838	1879
957	41883	1836
958	41920	1792
959	41965	1748
960	42010	1704
961	42048	1660
962	42091	1617
963	42130	1573
964	42168	1529
965	42205	1485
966	42245	1441
967	42288	1397
968	42326	1354
969	42367	1310
970	42404	1266
971	42442	1222
972	42481	1178
973	42522	1135
974	42559	1091
975	42605	1047
976	42643	1003
977	42680	960
978	42722	916
979	42761	872
980	42800	828
981	42842	785
982	42878	741
983	42918	697
984	42955	654
985	42991	610
986	43031	566
987	43073	523
988	43115	479
989	43156	435
990	43195	392
991	43234	348
992	43270	305
993	43317	261
994	43357	217
995	43399	174
996	43440	130
997	43482	87
998	43526	43
999	43563	0
